# Melt Pool Geometry History
# time(s)  length(m)  depth(m)  width(m)  volume(m3)  Tpeak(K)  laser_on
 2.10000E-05   0.00000E+00   0.00000E+00   0.00000E+00   7.67656E-14      293.00  1
 4.10000E-05   4.54854E-05   1.03938E-04   4.32226E-05   2.43582E-13     1934.84  1
 6.10000E-05   7.18274E-05   1.09814E-04   5.70667E-05   3.88254E-13     2760.87  1
 8.10000E-05   9.59822E-05   1.11855E-04   6.35494E-05   5.08979E-13     3198.90  1
 1.01000E-04   1.17794E-04   1.12844E-04   6.64161E-05   6.17461E-13     3392.88  1
 1.21000E-04   1.35696E-04   1.13077E-04   6.81271E-05   7.29388E-13     3539.25  1
 1.41000E-04   1.56266E-04   1.13246E-04   6.88913E-05   8.40848E-13     3627.53  1
 1.61000E-04   1.77874E-04   1.13401E-04   6.96665E-05   9.50328E-13     3640.44  1
 1.81000E-04   1.99079E-04   1.13328E-04   7.01183E-05   1.04768E-12     3694.66  1
 2.01000E-04   2.14914E-04   1.11944E-04   7.07470E-05   1.20891E-12     3531.91  1
 2.21000E-04   2.36134E-04   1.12303E-04   8.07137E-05   1.33422E-12     3398.20  1
 2.41000E-04   2.56083E-04   1.12601E-04   8.33409E-05   1.44900E-12     3372.61  1
 2.61000E-04   2.75553E-04   1.12738E-04   8.47890E-05   1.55939E-12     3354.83  1
 2.81000E-04   2.95320E-04   1.12765E-04   8.59022E-05   1.66244E-12     3345.40  1
 3.01000E-04   3.14821E-04   1.12766E-04   8.68607E-05   1.76377E-12     3355.46  1
 3.21000E-04   3.34410E-04   1.12761E-04   8.77361E-05   1.85962E-12     3368.72  1
 3.41000E-04   3.54057E-04   1.12757E-04   8.85343E-05   1.80732E-12     3364.73  0
 3.61000E-04   3.56124E-04   1.11218E-04   8.92652E-05   1.75396E-12     2880.35  0
 3.81000E-04   3.56580E-04   1.08545E-04   9.19164E-05   1.70179E-12     2610.50  0
 4.01000E-04   3.55152E-04   1.05430E-04   9.30477E-05   1.66464E-12     2438.13  0
 4.21000E-04   3.56022E-04   1.02826E-04   1.01760E-04   1.60429E-12     2298.85  0
 4.41000E-04   3.55694E-04   9.89318E-05   1.04148E-04   1.53608E-12     2185.00  0
 4.61000E-04   3.55485E-04   9.54004E-05   1.05332E-04   1.46859E-12     2091.06  0
 4.81000E-04   3.55287E-04   9.25770E-05   1.05293E-04   1.40021E-12     2016.62  0
 5.01000E-04   3.55035E-04   8.84681E-05   1.05599E-04   1.33347E-12     1954.43  0
 5.21000E-04   3.54733E-04   8.46850E-05   1.05785E-04   1.26810E-12     1902.66  0
 5.41000E-04   3.54378E-04   8.15532E-05   1.05673E-04   1.20410E-12     1859.12  0
 5.61000E-04   3.53983E-04   7.81316E-05   1.05366E-04   1.14180E-12     1821.47  0
 5.81000E-04   3.53552E-04   7.43261E-05   1.04866E-04   1.07933E-12     1788.71  0
 6.01000E-04   3.48083E-04   7.02132E-05   1.01303E-04   9.77495E-13     1759.36  0
 6.21000E-04   3.53266E-04   6.77229E-05   1.05387E-04   9.15278E-13     1732.57  0
