# Melt Pool Geometry History
# time(s)  length(m)  depth(m)  width(m)  volume(m3)  Tpeak(K)  laser_on
 2.10000E-05   0.00000E+00   0.00000E+00   0.00000E+00   7.15158E-14      293.00  1
 4.10000E-05   4.35135E-05   1.03371E-04   4.20713E-05   2.37483E-13     1896.40  1
 6.10000E-05   7.01441E-05   1.09323E-04   5.72201E-05   3.65441E-13     2750.03  1
 8.10000E-05   9.42525E-05   1.11166E-04   6.37738E-05   4.90835E-13     3137.76  1
 1.01000E-04   1.16407E-04   1.12076E-04   6.61463E-05   6.11143E-13     3300.45  1
 1.21000E-04   1.38242E-04   1.12317E-04   6.75399E-05   7.26459E-13     3388.47  1
 1.41000E-04   1.60022E-04   1.12404E-04   6.83893E-05   8.39019E-13     3436.46  1
 1.61000E-04   1.81779E-04   1.12484E-04   6.88884E-05   9.44679E-13     3451.99  1
 1.81000E-04   2.03491E-04   1.12502E-04   6.93137E-05   1.05136E-12     3457.94  1
 2.01000E-04   2.24720E-04   1.12270E-04   6.96759E-05   1.19454E-12     3423.38  1
 2.21000E-04   2.47196E-04   1.11509E-04   7.41692E-05   1.29977E-12     3289.10  1
 2.41000E-04   2.68299E-04   1.11800E-04   7.60190E-05   1.42504E-12     3247.25  1
 2.61000E-04   2.88727E-04   1.11853E-04   8.13451E-05   1.54221E-12     3243.80  1
 2.81000E-04   3.09601E-04   1.11864E-04   8.31987E-05   1.50655E-12     3233.84  0
 3.01000E-04   3.10555E-04   1.09309E-04   8.42347E-05   1.45366E-12     2802.62  0
 3.21000E-04   3.10766E-04   1.07629E-04   8.50186E-05   1.39370E-12     2537.73  0
 3.41000E-04   3.10727E-04   1.03430E-04   8.56477E-05   1.33147E-12     2358.29  0
 3.61000E-04   3.10509E-04   9.93353E-05   8.61368E-05   1.27142E-12     2236.63  0
 3.81000E-04   3.10186E-04   9.57741E-05   8.64945E-05   1.21190E-12     2143.15  0
 4.01000E-04   3.08910E-04   9.24651E-05   8.61194E-05   1.14892E-12     2066.04  0
 4.21000E-04   3.12067E-04   8.80994E-05   8.78679E-05   1.09792E-12     1994.70  0
 4.41000E-04   3.12747E-04   8.38020E-05   8.88779E-05   1.04588E-12     1932.96  0
 4.61000E-04   3.12963E-04   7.98665E-05   8.91982E-05   9.94518E-13     1882.20  0
 4.81000E-04   3.12960E-04   7.64025E-05   8.90774E-05   9.43450E-13     1838.05  0
 5.01000E-04   3.12851E-04   7.29369E-05   8.88012E-05   8.92599E-13     1800.13  0
 5.21000E-04   3.12682E-04   6.89116E-05   8.83951E-05   8.41086E-13     1767.67  0
 5.41000E-04   3.12536E-04   6.54631E-05   8.79000E-05   7.89714E-13     1739.64  0
 5.61000E-04   3.12424E-04   6.27758E-05   8.73411E-05   7.38392E-13     1715.47  0
 5.81000E-04   3.12246E-04   5.89735E-05   8.67309E-05   6.86899E-13     1694.75  0
 6.01000E-04   3.04613E-04   5.57309E-05   8.35419E-05   5.99598E-13     1676.11  0
 6.21000E-04   3.05783E-04   5.31671E-05   8.71906E-05   5.48414E-13     1660.36  0
 6.41000E-04   3.03061E-04   4.98887E-05   8.63207E-05   4.98365E-13     1647.63  0
 6.61000E-04   2.94867E-04   4.77471E-05   8.58096E-05   4.50205E-13     1637.38  0
 6.81000E-04   2.87038E-04   4.44221E-05   8.54642E-05   4.04620E-13     1629.81  0
 7.01000E-04   2.81923E-04   4.25794E-05   8.51936E-05   3.61118E-13     1624.94  0
 7.21000E-04   2.73507E-04   3.92863E-05   8.49695E-05   3.20201E-13     1622.89  0
 7.41000E-04   2.71969E-04   3.75863E-05   8.47697E-05   2.81433E-13     1622.29  0
 7.61000E-04   2.68586E-04   3.44089E-05   8.45848E-05   2.44732E-13     1621.45  0
 7.81000E-04   2.62030E-04   3.28036E-05   8.44047E-05   2.83509E-13     1620.35  1
 8.01000E-04   5.03035E-05   1.03142E-04   4.26203E-05   4.15595E-13     1834.43  1
 8.21000E-04   7.36205E-05   1.09319E-04   6.14606E-05   5.23488E-13     2735.92  1
 8.41000E-04   9.72896E-05   1.10895E-04   6.92507E-05   6.22685E-13     3036.20  1
 8.61000E-04   1.19563E-04   1.11762E-04   7.21609E-05   7.23330E-13     3183.25  1
 8.81000E-04   1.40891E-04   1.12115E-04   7.36974E-05   8.26123E-13     3256.20  1
 9.01000E-04   1.62517E-04   1.12294E-04   7.48211E-05   9.36213E-13     3291.28  1
 9.21000E-04   1.87376E-04   1.12422E-04   7.57767E-05   1.04609E-12     3325.99  1
 9.41000E-04   2.06800E-04   1.12521E-04   7.66586E-05   1.15203E-12     3321.70  1
 9.61000E-04   2.27765E-04   1.12592E-04   7.74443E-05   1.25473E-12     3318.13  1
 9.81000E-04   2.48964E-04   1.12680E-04   7.81958E-05   1.36232E-12     3296.30  1
 1.00100E-03   2.68876E-04   1.12250E-04   8.05154E-05   1.52376E-12     3226.75  1
 1.02100E-03   2.93601E-04   1.12413E-04   8.66268E-05   1.63914E-12     3233.60  1
 1.04100E-03   3.15036E-04   1.12652E-04   8.82330E-05   1.75598E-12     3250.89  1
 1.06100E-03   3.35532E-04   1.12728E-04   8.92525E-05   1.86450E-12     3258.87  1
 1.08100E-03   3.56743E-04   1.12723E-04   9.02527E-05   1.96848E-12     3231.79  1
 1.10100E-03   3.77993E-04   1.12715E-04   9.09729E-05   2.07052E-12     3256.89  1
 1.12100E-03   3.99345E-04   1.12692E-04   9.17055E-05   2.16886E-12     3278.44  1
 1.14100E-03   4.20837E-04   1.12651E-04   9.22683E-05   2.26442E-12     3295.55  1
 1.16100E-03   4.45082E-04   1.12588E-04   9.25913E-05   2.36235E-12     3315.84  1
 1.18100E-03   4.65032E-04   1.12504E-04   9.54047E-05   2.45946E-12     3309.94  1
 1.20100E-03   4.83204E-04   1.12349E-04   9.69645E-05   2.54975E-12     3307.42  1
 1.22100E-03   5.06417E-04   1.12168E-04   9.77196E-05   2.63201E-12     3279.74  1
 1.24100E-03   5.26914E-04   1.12172E-04   9.83092E-05   2.71308E-12     3269.49  1
 1.26100E-03   5.46657E-04   1.12080E-04   9.87546E-05   2.79236E-12     3263.20  1
 1.28100E-03   5.66428E-04   1.12016E-04   9.90941E-05   2.86519E-12     3239.43  1
 1.30100E-03   5.83518E-04   1.11968E-04   9.93588E-05   2.78360E-12     3237.40  0
 1.32100E-03   5.81499E-04   1.09508E-04   9.95868E-05   2.68935E-12     2797.08  0
 1.34100E-03   5.80035E-04   1.07780E-04   9.97643E-05   2.58861E-12     2527.04  0
 1.36100E-03   5.77912E-04   1.03714E-04   9.99006E-05   2.48587E-12     2356.71  0
 1.38100E-03   5.71572E-04   9.99193E-05   1.00009E-04   2.38601E-12     2237.76  0
 1.40100E-03   5.67655E-04   9.67726E-05   9.99770E-05   2.28699E-12     2145.61  0
 1.42100E-03   5.63845E-04   9.30070E-05   1.00020E-04   2.19126E-12     2073.94  0
 1.44100E-03   5.59889E-04   8.88057E-05   9.99651E-05   2.09655E-12     2013.57  0
 1.46100E-03   5.54300E-04   8.51076E-05   9.98289E-05   2.00435E-12     1961.31  0
 1.48100E-03   5.48718E-04   8.21457E-05   9.96342E-05   1.91427E-12     1915.46  0
 1.50100E-03   5.43854E-04   7.83239E-05   9.93870E-05   1.82646E-12     1874.24  0
 1.52100E-03   5.37533E-04   7.46327E-05   9.90994E-05   1.74004E-12     1837.08  0
 1.54100E-03   5.33107E-04   7.21707E-05   9.87566E-05   1.65442E-12     1803.76  0
 1.56100E-03   5.26261E-04   6.85899E-05   9.83796E-05   1.57053E-12     1774.18  0
 1.58100E-03   5.22360E-04   6.55470E-05   9.79777E-05   1.48682E-12     1747.79  0
 1.60100E-03   5.15203E-04   6.28807E-05   9.51954E-05   1.33750E-12     1724.21  0
 1.62100E-03   5.11698E-04   5.95776E-05   1.02659E-04   1.24094E-12     1701.08  0
 1.64100E-03   5.04204E-04   5.76561E-05   1.03090E-04   1.14752E-12     1679.72  0
 1.66100E-03   4.99966E-04   5.43240E-05   1.03412E-04   1.05722E-12     1661.92  0
 1.68100E-03   4.93060E-04   5.25669E-05   1.03656E-04   9.70234E-13     1647.73  0
 1.70100E-03   4.86480E-04   4.92501E-05   1.03842E-04   8.86495E-13     1637.09  0
 1.72100E-03   4.81784E-04   4.75670E-05   1.03985E-04   8.07106E-13     1629.76  0
 1.74100E-03   4.73966E-04   4.43423E-05   1.04089E-04   7.31288E-13     1625.04  0
 1.76100E-03   4.68238E-04   4.26930E-05   1.04156E-04   6.59598E-13     1622.94  0
 1.78100E-03   4.61742E-04   3.95994E-05   1.04180E-04   5.91433E-13     1622.39  0
 1.80100E-03   4.53635E-04   3.78682E-05   9.88810E-05   5.70755E-13     1621.57  1
 1.82100E-03   4.36322E-05   1.02707E-04   4.73465E-05   6.67128E-13     1811.35  1
