# Melt Pool Geometry History
# time(s)  length(m)  depth(m)  width(m)  volume(m3)  Tpeak(K)  laser_on
 2.10000E-05   0.00000E+00   0.00000E+00   0.00000E+00   7.70574E-14      293.00  1
 4.10000E-05   4.16844E-05   1.03323E-04   4.41649E-05   2.30902E-13     1901.39  1
 6.10000E-05   7.54174E-05   1.09043E-04   5.50915E-05   3.67006E-13     2620.30  1
 8.10000E-05   9.87821E-05   1.10116E-04   6.07820E-05   4.97598E-13     2960.81  1
 1.01000E-04   1.24870E-04   1.10569E-04   6.25379E-05   6.20911E-13     3005.41  1
 1.21000E-04   1.49319E-04   1.10749E-04   6.32928E-05   7.52442E-13     2998.00  1
 1.41000E-04   1.74703E-04   1.10752E-04   6.37840E-05   8.65413E-13     3034.34  1
 1.61000E-04   1.98120E-04   1.10915E-04   6.42682E-05   8.26919E-13     3112.22  0
 1.81000E-04   2.01284E-04   1.08354E-04   6.42590E-05   7.78064E-13     2680.71  0
 2.01000E-04   2.01152E-04   1.03177E-04   6.39900E-05   7.06991E-13     2454.10  0
 2.21000E-04   2.03086E-04   9.87178E-05   6.91610E-05   6.70948E-13     2244.67  0
 2.41000E-04   2.03931E-04   9.34961E-05   7.06850E-05   6.30264E-13     2094.50  0
 2.61000E-04   2.04030E-04   8.82273E-05   7.11473E-05   5.90488E-13     1991.44  0
 2.81000E-04   2.03801E-04   8.33081E-05   7.12218E-05   5.52731E-13     1914.28  0
 3.01000E-04   2.03502E-04   7.83348E-05   7.10664E-05   5.17594E-13     1855.96  0
 3.21000E-04   2.03240E-04   7.33038E-05   7.07231E-05   4.84372E-13     1808.81  0
 3.41000E-04   2.02956E-04   6.84619E-05   7.02204E-05   4.52662E-13     1770.09  0
 3.61000E-04   2.02731E-04   6.36900E-05   6.95614E-05   4.21289E-13     1737.35  0
 3.81000E-04   2.02665E-04   5.90096E-05   6.87919E-05   3.90234E-13     1709.92  0
 4.01000E-04   2.02562E-04   5.45470E-05   6.79539E-05   3.59032E-13     1686.95  0
 4.21000E-04   2.02435E-04   5.05005E-05   6.70894E-05   3.27983E-13     1667.78  0
 4.41000E-04   2.02274E-04   4.73852E-05   6.62787E-05   2.97040E-13     1652.49  0
 4.61000E-04   2.02084E-04   4.33741E-05   6.56116E-05   2.66563E-13     1640.12  0
 4.81000E-04   2.01879E-04   3.99754E-05   6.53146E-05   2.36867E-13     1631.05  0
 5.01000E-04   2.01629E-04   3.77654E-05   6.51886E-05   2.08369E-13     1625.14  0
 5.21000E-04   2.01322E-04   3.43549E-05   6.50698E-05   1.81157E-13     1622.80  0
 5.41000E-04   2.00942E-04   3.29314E-05   6.49517E-05   1.55380E-13     1622.00  0
 5.61000E-04   1.99846E-04   3.27148E-05   6.48273E-05   1.31296E-13     1620.88  0
 5.81000E-04   1.88657E-04   3.22402E-05   6.46905E-05   1.09234E-13     1619.41  0
 6.01000E-04   1.66494E-04   2.60219E-05   5.94655E-05   7.62226E-14     1617.20  0
 6.21000E-04   1.54148E-04   2.31044E-05   7.09228E-05   5.77960E-14     1614.80  0
 6.41000E-04   1.38329E-04   2.05897E-05   7.09651E-05   4.17576E-14     1611.87  0
 6.61000E-04   1.24772E-04   1.86828E-05   7.08844E-05   1.05672E-13     1608.33  1
 6.81000E-04   4.29848E-05   1.03217E-04   4.96325E-05   2.62192E-13     1824.56  1
