# Melt Pool Geometry History
# time(s)  length(m)  depth(m)  width(m)  volume(m3)  Tpeak(K)  laser_on
 2.10000E-05   0.00000E+00   0.00000E+00   0.00000E+00   7.59758E-14      293.00  1
 4.10000E-05   3.79867E-05   1.02775E-04   4.25725E-05   2.29411E-13     1856.88  1
 6.10000E-05   6.90125E-05   1.09531E-04   5.75583E-05   3.52213E-13     2750.46  1
 8.10000E-05   9.10010E-05   1.11982E-04   6.59230E-05   4.75773E-13     3275.38  1
 1.01000E-04   1.11820E-04   1.13086E-04   6.92277E-05   5.83713E-13     3531.71  1
 1.21000E-04   1.27629E-04   1.13587E-04   7.09776E-05   6.93729E-13     3696.55  1
 1.41000E-04   1.47643E-04   1.14278E-04   7.20218E-05   7.95598E-13     3783.38  1
 1.61000E-04   1.62884E-04   1.14405E-04   7.27509E-05   8.97570E-13     3807.39  1
 1.81000E-04   1.85328E-04   1.14744E-04   7.33261E-05   1.00249E-12     3846.91  1
 2.01000E-04   2.05686E-04   1.14365E-04   7.41177E-05   1.19713E-12     3851.04  1
 2.21000E-04   2.21745E-04   1.13663E-04   8.25659E-05   1.32022E-12     3693.52  1
 2.41000E-04   2.39856E-04   1.13564E-04   8.49759E-05   1.43391E-12     3670.19  1
 2.61000E-04   2.58129E-04   1.13747E-04   8.64151E-05   1.54040E-12     3616.89  1
 2.81000E-04   2.72672E-04   1.13838E-04   8.75961E-05   1.64553E-12     3595.62  1
 3.01000E-04   2.91031E-04   1.13828E-04   8.86622E-05   1.74543E-12     3612.76  1
 3.21000E-04   3.09536E-04   1.13856E-04   8.96570E-05   1.73610E-12     3593.77  0
 3.41000E-04   3.10896E-04   1.13179E-04   9.68319E-05   1.70465E-12     3066.53  0
 3.61000E-04   3.11362E-04   1.10872E-04   9.96189E-05   1.66957E-12     2794.10  0
 3.81000E-04   3.11610E-04   1.08432E-04   1.00836E-04   1.62885E-12     2607.75  0
 4.01000E-04   3.10968E-04   1.05180E-04   1.01527E-04   1.58736E-12     2461.67  0
 4.21000E-04   3.12915E-04   1.02779E-04   1.05618E-04   1.53804E-12     2329.12  0
 4.41000E-04   3.13726E-04   9.90067E-05   1.07504E-04   1.48212E-12     2213.10  0
 4.61000E-04   3.14170E-04   9.60337E-05   1.08237E-04   1.42644E-12     2116.81  0
 4.81000E-04   3.14177E-04   9.30569E-05   1.08579E-04   1.36920E-12     2037.40  0
 5.01000E-04   3.14130E-04   8.93353E-05   1.08641E-04   1.31146E-12     1971.22  0
 5.21000E-04   3.14095E-04   8.65564E-05   1.08596E-04   1.25501E-12     1915.12  0
 5.41000E-04   3.13986E-04   8.32776E-05   1.08445E-04   1.19730E-12     1867.38  0
 5.61000E-04   3.13792E-04   7.96691E-05   1.08205E-04   1.14080E-12     1826.66  0
 5.81000E-04   3.13520E-04   7.72807E-05   1.07878E-04   1.08408E-12     1792.34  0
 6.01000E-04   3.07439E-04   7.28102E-05   1.06010E-04   9.80145E-13     1761.60  0
 6.21000E-04   3.14025E-04   6.93934E-05   1.11601E-04   9.23500E-13     1735.55  0
 6.41000E-04   3.13370E-04   6.69355E-05   1.12028E-04   8.65187E-13     1712.29  0
 6.61000E-04   3.12843E-04   6.35427E-05   1.12284E-04   8.06580E-13     1691.96  0
 6.81000E-04   3.12252E-04   6.04530E-05   1.12454E-04   7.48329E-13     1674.60  0
 7.01000E-04   3.05808E-04   5.80344E-05   1.12576E-04   6.91428E-13     1660.08  0
 7.21000E-04   3.02168E-04   5.47062E-05   1.12665E-04   6.35791E-13     1648.18  0
 7.41000E-04   2.94287E-04   5.27214E-05   1.12730E-04   5.82228E-13     1638.74  0
 7.61000E-04   2.87902E-04   4.92732E-05   1.12774E-04   5.30668E-13     1631.54  0
 7.81000E-04   2.82511E-04   4.74413E-05   1.12802E-04   4.81472E-13     1626.44  0
 8.01000E-04   2.71955E-04   4.39553E-05   1.06799E-04   4.05222E-13     1623.39  0
 8.21000E-04   2.69832E-04   4.20391E-05   1.14041E-04   4.43879E-13     1622.69  1
 8.41000E-04   4.31291E-05   1.03821E-04   4.46180E-05   5.58364E-13     1869.41  1
 8.61000E-04   6.90969E-05   1.09692E-04   6.53869E-05   6.49653E-13     2799.62  1
 8.81000E-04   9.03936E-05   1.11894E-04   7.13131E-05   7.31119E-13     3247.52  1
 9.01000E-04   1.09979E-04   1.12980E-04   7.40838E-05   8.16750E-13     3455.50  1
 9.21000E-04   1.28850E-04   1.13507E-04   7.58105E-05   9.07213E-13     3579.17  1
 9.41000E-04   1.45051E-04   1.14079E-04   7.71667E-05   9.97428E-13     3640.79  1
 9.61000E-04   1.63383E-04   1.14421E-04   7.82899E-05   1.08900E-12     3660.89  1
 9.81000E-04   1.82490E-04   1.14544E-04   7.93337E-05   1.19701E-12     3691.51  1
 1.00100E-03   1.99718E-04   1.13911E-04   8.69841E-05   1.33675E-12     3579.04  1
 1.02100E-03   2.18628E-04   1.13894E-04   9.59536E-05   1.43980E-12     3576.44  1
 1.04100E-03   2.37068E-04   1.14481E-04   9.85617E-05   1.55066E-12     3599.21  1
 1.06100E-03   2.55139E-04   1.14982E-04   1.00047E-04   1.66051E-12     3628.70  1
 1.08100E-03   2.70703E-04   1.15272E-04   1.01113E-04   1.77514E-12     3620.54  1
 1.10100E-03   2.88991E-04   1.15441E-04   1.01873E-04   1.89466E-12     3628.14  1
 1.12100E-03   3.07570E-04   1.15527E-04   1.02612E-04   2.01421E-12     3639.37  1
 1.14100E-03   3.25915E-04   1.15651E-04   1.03311E-04   2.13824E-12     3629.53  1
 1.16100E-03   3.41118E-04   1.15717E-04   1.04042E-04   2.25515E-12     3627.20  1
 1.18100E-03   3.59246E-04   1.15752E-04   1.04738E-04   2.37415E-12     3623.29  1
 1.20100E-03   3.77197E-04   1.15755E-04   1.05446E-04   2.49233E-12     3617.30  1
 1.22100E-03   3.96033E-04   1.15707E-04   1.06121E-04   2.60014E-12     3620.59  1
 1.24100E-03   4.14675E-04   1.15700E-04   1.06781E-04   2.71009E-12     3630.03  1
 1.26100E-03   4.33468E-04   1.15696E-04   1.07481E-04   2.81809E-12     3630.23  1
