# Melt Pool Geometry History
# time(s)  length(m)  depth(m)  width(m)  volume(m3)  Tpeak(K)  laser_on
 2.10000E-05   0.00000E+00   0.00000E+00   0.00000E+00   8.57531E-14      293.00  1
 4.10000E-05   4.59428E-05   1.03807E-04   4.39829E-05   2.21596E-13     1927.18  1
 6.10000E-05   7.71644E-05   1.08204E-04   5.25394E-05   3.60918E-13     2512.08  1
 8.10000E-05   1.05261E-04   1.08411E-04   5.65532E-05   4.90127E-13     2632.03  1
 1.01000E-04   1.36847E-04   1.08637E-04   5.74529E-05   6.17193E-13     2637.96  1
 1.21000E-04   1.70521E-04   1.08720E-04   5.79515E-05   7.31833E-13     2583.82  1
 1.41000E-04   1.99051E-04   1.08621E-04   5.81099E-05   6.88792E-13     2633.47  0
 1.61000E-04   1.99352E-04   1.04917E-04   5.76550E-05   6.38331E-13     2296.81  0
 1.81000E-04   1.99108E-04   1.00120E-04   5.71554E-05   5.89231E-13     2135.89  0
 2.01000E-04   1.95203E-04   9.05693E-05   5.63767E-05   4.74707E-13     2031.78  0
 2.21000E-04   2.01269E-04   8.61404E-05   6.10335E-05   4.38629E-13     1920.16  0
 2.41000E-04   2.01569E-04   7.86912E-05   6.15288E-05   4.04077E-13     1841.13  0
 2.61000E-04   2.01657E-04   7.17831E-05   6.12164E-05   3.71543E-13     1783.58  0
 2.81000E-04   2.01633E-04   6.47122E-05   6.05439E-05   3.40290E-13     1742.32  0
 3.01000E-04   2.01521E-04   5.87796E-05   5.96595E-05   3.09910E-13     1710.34  0
 3.21000E-04   2.01362E-04   5.34632E-05   5.86539E-05   2.80001E-13     1684.13  0
 3.41000E-04   2.01201E-04   4.87531E-05   5.76129E-05   2.50512E-13     1662.73  0
 3.61000E-04   2.01013E-04   4.45291E-05   5.66846E-05   2.21548E-13     1646.08  0
 3.81000E-04   2.00770E-04   4.10139E-05   5.60362E-05   1.93784E-13     1634.01  0
 4.01000E-04   1.97432E-04   3.79602E-05   5.56403E-05   1.67318E-13     1626.19  0
 4.21000E-04   1.92762E-04   3.43202E-05   5.54381E-05   1.42525E-13     1622.86  0
 4.41000E-04   1.90549E-04   3.19767E-05   5.52478E-05   1.19585E-13     1621.94  0
 4.61000E-04   1.81546E-04   2.88223E-05   5.50553E-05   9.84417E-14     1620.64  0
 4.81000E-04   1.72357E-04   2.65393E-05   5.48494E-05   7.89704E-14     1618.91  0
 5.01000E-04   1.64357E-04   2.38923E-05   5.46190E-05   6.13249E-14     1616.72  0
 5.21000E-04   1.53515E-04   2.20903E-05   5.43461E-05   4.55392E-14     1614.02  0
 5.41000E-04   1.41598E-04   1.92185E-05   5.40180E-05   3.20156E-14     1610.70  0
 5.61000E-04   1.23092E-04   1.77457E-05   5.36108E-05   2.08898E-14     1606.76  0
 5.81000E-04   1.04369E-04   1.47215E-05   5.30883E-05   1.18839E-14     1601.90  0
 6.01000E-04   8.38022E-05   1.29023E-05   4.55123E-05   3.78001E-15     1595.62  0
 6.21000E-04   6.37795E-05   9.44227E-06   4.35920E-05   5.23433E-16     1587.65  0
 6.41000E-04   3.50557E-05   5.98771E-06   2.62349E-05   7.65783E-14     1575.81  1
 6.61000E-04   5.02499E-05   1.03426E-04   4.33194E-05   2.33136E-13     1871.78  1
 6.81000E-04   8.15757E-05   1.08372E-04   5.61416E-05   3.80829E-13     2507.75  1
 7.01000E-04   1.12054E-04   1.08971E-04   6.14953E-05   5.31725E-13     2690.53  1
 7.21000E-04   1.42604E-04   1.09265E-04   6.40581E-05   6.75743E-13     2727.39  1
 7.41000E-04   1.72824E-04   1.09455E-04   6.59632E-05   8.11974E-13     2759.48  1
 7.61000E-04   2.04089E-04   1.09553E-04   6.72344E-05   9.46641E-13     2771.95  1
 7.81000E-04   2.34926E-04   1.09536E-04   7.03026E-05   1.07786E-12     2784.17  1
 8.01000E-04   2.62376E-04   1.08729E-04   7.27457E-05   1.21629E-12     2677.59  1
 8.21000E-04   2.93699E-04   1.08783E-04   7.76989E-05   1.33133E-12     2641.47  1
 8.41000E-04   3.23428E-04   1.08576E-04   7.95904E-05   1.43434E-12     2666.19  1
 8.61000E-04   3.53675E-04   1.08356E-04   8.04786E-05   1.52659E-12     2624.66  1
 8.81000E-04   3.83705E-04   1.08225E-04   8.11255E-05   1.44407E-12     2630.71  0
 9.01000E-04   3.83942E-04   1.03963E-04   8.16516E-05   1.35613E-12     2285.57  0
