# Melt Pool Geometry History
# time(s)  length(m)  depth(m)  width(m)  volume(m3)  Tpeak(K)  laser_on
 2.10000E-05   0.00000E+00   0.00000E+00   0.00000E+00   7.87077E-14      293.00  1
 4.10000E-05   3.62647E-05   1.00901E-04   3.60189E-05   2.29953E-13     1827.04  1
 6.10000E-05   6.79519E-05   1.09308E-04   6.11836E-05   3.35188E-13     2733.79  1
 8.10000E-05   8.51928E-05   1.12202E-04   6.99263E-05   4.62359E-13     3300.49  1
 1.01000E-04   1.04232E-04   1.13296E-04   7.79958E-05   5.85118E-13     3638.25  1
 1.21000E-04   1.19067E-04   1.14514E-04   8.18854E-05   7.05428E-13     3777.98  1
 1.41000E-04   1.38237E-04   1.15207E-04   8.33299E-05   7.11702E-13     3866.04  0
 1.61000E-04   1.42673E-04   1.13869E-04   8.37555E-05   7.00178E-13     3285.24  0
 1.81000E-04   1.44821E-04   1.12701E-04   8.37971E-05   6.84628E-13     2946.96  0
 2.01000E-04   1.43865E-04   1.08401E-04   8.36520E-05   6.35562E-13     2684.25  0
 2.21000E-04   1.46939E-04   1.04746E-04   8.80392E-05   6.05296E-13     2460.25  0
 2.41000E-04   1.48173E-04   1.01002E-04   8.87461E-05   5.75484E-13     2293.56  0
 2.61000E-04   1.48238E-04   9.74284E-05   8.92026E-05   5.45675E-13     2166.18  0
 2.81000E-04   1.48239E-04   9.28655E-05   9.02195E-05   5.18596E-13     2066.09  0
 3.01000E-04   1.48118E-04   8.82098E-05   9.09527E-05   4.93656E-13     1983.58  0
 3.21000E-04   1.47831E-04   8.35075E-05   9.10999E-05   4.68938E-13     1916.90  0
 3.41000E-04   1.47387E-04   7.87427E-05   9.11111E-05   4.45075E-13     1861.28  0
 3.61000E-04   1.46808E-04   7.39409E-05   9.08389E-05   4.22131E-13     1816.11  0
 3.81000E-04   1.46114E-04   6.91738E-05   9.03026E-05   3.99415E-13     1777.86  0
 4.01000E-04   1.45333E-04   6.45288E-05   8.94907E-05   3.75923E-13     1745.14  0
 4.21000E-04   1.44598E-04   6.01100E-05   8.86146E-05   3.51872E-13     1717.03  0
 4.41000E-04   1.44055E-04   5.60798E-05   8.76957E-05   3.26772E-13     1692.78  0
 4.61000E-04   1.43576E-04   5.25675E-05   8.68441E-05   3.00726E-13     1672.47  0
 4.81000E-04   1.43315E-04   4.83114E-05   8.61234E-05   2.74152E-13     1655.82  0
 5.01000E-04   1.43165E-04   4.44200E-05   8.54951E-05   2.47622E-13     1642.40  0
 5.21000E-04   1.43015E-04   4.13226E-05   8.51035E-05   2.21754E-13     1632.37  0
 5.41000E-04   1.42859E-04   3.82262E-05   8.48968E-05   1.96606E-13     1625.75  0
 5.61000E-04   1.42694E-04   3.47818E-05   8.47046E-05   1.72644E-13     1622.87  0
 5.81000E-04   1.42514E-04   3.26777E-05   8.45164E-05   1.50080E-13     1622.04  0
 6.01000E-04   1.42313E-04   2.92475E-05   8.43211E-05   1.28365E-13     1620.84  0
 6.21000E-04   1.42082E-04   2.75113E-05   8.41093E-05   1.07608E-13     1619.25  0
