# Melt Pool Geometry History
# time(s)  length(m)  depth(m)  width(m)  volume(m3)  Tpeak(K)  laser_on
 2.10000E-05   0.00000E+00   0.00000E+00   0.00000E+00   7.72313E-14      293.00  1
 4.10000E-05   3.75640E-05   1.02677E-04   4.26302E-05   2.34059E-13     1850.41  1
 6.10000E-05   6.90093E-05   1.09824E-04   5.89092E-05   3.53321E-13     2805.65  1
 8.10000E-05   8.62573E-05   1.12547E-04   6.76989E-05   4.63692E-13     3408.52  1
 1.01000E-04   1.05322E-04   1.13567E-04   7.12864E-05   5.69142E-13     3785.61  1
 1.21000E-04   1.20022E-04   1.15025E-04   7.29129E-05   6.71521E-13     3955.57  1
 1.41000E-04   1.42592E-04   1.15597E-04   7.40472E-05   7.92965E-13     4073.10  1
 1.61000E-04   1.57931E-04   1.16091E-04   8.37398E-05   8.00760E-13     4112.60  0
 1.81000E-04   1.59553E-04   1.14859E-04   8.53036E-05   7.92223E-13     3480.13  0
 2.01000E-04   1.59179E-04   1.12146E-04   8.56203E-05   7.90827E-13     3070.68  0
 2.21000E-04   1.64867E-04   1.09279E-04   9.25081E-05   7.69372E-13     2752.27  0
 2.41000E-04   1.66657E-04   1.06439E-04   9.41598E-05   7.42699E-13     2516.71  0
 2.61000E-04   1.67257E-04   1.03142E-04   9.48615E-05   7.14337E-13     2337.02  0
 2.81000E-04   1.67063E-04   9.91042E-05   9.52525E-05   6.82691E-13     2201.92  0
 3.01000E-04   1.66974E-04   9.52153E-05   9.54397E-05   6.51710E-13     2097.80  0
 3.21000E-04   1.66874E-04   9.18435E-05   9.54456E-05   6.21623E-13     2015.46  0
 3.41000E-04   1.66598E-04   8.78585E-05   9.52624E-05   5.92082E-13     1948.16  0
 3.61000E-04   1.66246E-04   8.34061E-05   9.48880E-05   5.63422E-13     1892.68  0
 3.81000E-04   1.65818E-04   7.90017E-05   9.43274E-05   5.35881E-13     1845.95  0
 4.01000E-04   1.65308E-04   7.46808E-05   9.35791E-05   5.08397E-13     1805.62  0
 4.21000E-04   1.64724E-04   7.05614E-05   9.26714E-05   4.81234E-13     1770.95  0
 4.41000E-04   1.64119E-04   6.67641E-05   9.16218E-05   4.53409E-13     1740.72  0
 4.61000E-04   1.63626E-04   6.28143E-05   9.04842E-05   4.24485E-13     1714.73  0
 4.81000E-04   1.63395E-04   5.85318E-05   8.93100E-05   3.94850E-13     1692.38  0
 5.01000E-04   1.63318E-04   5.45486E-05   8.81700E-05   3.64643E-13     1673.49  0
 5.21000E-04   1.63227E-04   5.11400E-05   8.71177E-05   3.34055E-13     1657.52  0
 5.41000E-04   1.63127E-04   4.79611E-05   8.62738E-05   3.03316E-13     1644.56  0
 5.61000E-04   1.63017E-04   4.41725E-05   8.58948E-05   2.73491E-13     1634.59  0
 5.81000E-04   1.62896E-04   4.11712E-05   8.56813E-05   2.44420E-13     1627.43  0
 6.01000E-04   1.62760E-04   3.83028E-05   8.54791E-05   2.16760E-13     1623.46  0
 6.21000E-04   1.62605E-04   3.50069E-05   8.52781E-05   1.89943E-13     1622.49  0
 6.41000E-04   1.62430E-04   3.28873E-05   8.50680E-05   1.64453E-13     1621.59  0
 6.61000E-04   1.62228E-04   2.96244E-05   8.48398E-05   2.29496E-13     1620.35  1
 6.81000E-04   5.13383E-05   1.04910E-04   4.15125E-05   3.99091E-13     1868.47  1
 7.01000E-04   2.23426E-04   1.10826E-04   1.35344E-04   5.37370E-13     2874.41  1
 7.21000E-04   2.25189E-04   1.13347E-04   1.38624E-04   6.84386E-13     3409.06  1
 7.41000E-04   2.26010E-04   1.15223E-04   1.39883E-04   8.27032E-13     3702.86  1
 7.61000E-04   2.26609E-04   1.16868E-04   1.40776E-04   9.70454E-13     3955.12  1
 7.81000E-04   2.26815E-04   1.17776E-04   1.41385E-04   1.12868E-12     4050.83  1
 8.01000E-04   2.10265E-04   1.17934E-04   1.44742E-04   1.31550E-12     4027.88  1
 8.21000E-04   2.05112E-04   1.18392E-04   1.54958E-04   1.47003E-12     4061.98  1
 8.41000E-04   2.13837E-04   1.18784E-04   1.56370E-04   1.62572E-12     4131.95  1
