# Melt Pool Geometry History
# time(s)  length(m)  depth(m)  width(m)  volume(m3)  Tpeak(K)  laser_on
 2.10000E-05   0.00000E+00   0.00000E+00   0.00000E+00   8.09205E-14      293.00  1
 4.10000E-05   3.83766E-05   1.02991E-04   4.30718E-05   2.31127E-13     1902.56  1
 6.10000E-05   6.90756E-05   1.10025E-04   5.90224E-05   3.57847E-13     2862.50  1
 8.10000E-05   8.64780E-05   1.12646E-04   6.73291E-05   4.73994E-13     3456.88  1
 1.01000E-04   1.05121E-04   1.13703E-04   7.06821E-05   5.78048E-13     3827.69  1
 1.21000E-04   1.20069E-04   1.15165E-04   7.23293E-05   6.79272E-13     3989.85  1
 1.41000E-04   1.39209E-04   1.15735E-04   7.34101E-05   7.77210E-13     4110.58  1
 1.61000E-04   1.56760E-04   1.16256E-04   7.42901E-05   8.72687E-13     4180.06  1
 1.81000E-04   1.77407E-04   1.16487E-04   7.49868E-05   9.65600E-13     4194.10  1
 2.01000E-04   1.91110E-04   1.15846E-04   7.69539E-05   1.19765E-12     4111.95  1
 2.21000E-04   2.09041E-04   1.15161E-04   8.42651E-05   1.31284E-12     3984.68  1
 2.41000E-04   2.27447E-04   1.15413E-04   8.64799E-05   1.29596E-12     3899.75  0
 2.61000E-04   2.29586E-04   1.14069E-04   8.78736E-05   1.26603E-12     3301.34  0
 2.81000E-04   2.30525E-04   1.13098E-04   8.90700E-05   1.25224E-12     2992.79  0
 3.01000E-04   2.31049E-04   1.10125E-04   9.74184E-05   1.22876E-12     2778.65  0
 3.21000E-04   2.31472E-04   1.08082E-04   1.00194E-04   1.20508E-12     2604.57  0
 3.41000E-04   2.31749E-04   1.04752E-04   1.01329E-04   1.17351E-12     2453.36  0
 3.61000E-04   2.31876E-04   1.02698E-04   1.02025E-04   1.14391E-12     2325.62  0
 3.81000E-04   2.31640E-04   9.89375E-05   1.02466E-04   1.10720E-12     2216.48  0
 4.01000E-04   2.30793E-04   9.59974E-05   1.02432E-04   1.06277E-12     2126.12  0
 4.21000E-04   2.30846E-04   9.31922E-05   1.03323E-04   1.02350E-12     2047.28  0
 4.41000E-04   2.30369E-04   8.97019E-05   1.03399E-04   9.81824E-13     1982.85  0
 4.61000E-04   2.29679E-04   8.74579E-05   1.03265E-04   9.40914E-13     1927.82  0
 4.81000E-04   2.28880E-04   8.36051E-05   1.02965E-04   9.01079E-13     1880.11  0
 5.01000E-04   2.28051E-04   8.02975E-05   1.02521E-04   8.60393E-13     1838.95  0
 5.21000E-04   2.27257E-04   7.77440E-05   1.01949E-04   8.19662E-13     1803.34  0
 5.41000E-04   2.26605E-04   7.39336E-05   1.01267E-04   7.78437E-13     1772.44  0
 5.61000E-04   2.25963E-04   7.09932E-05   1.00483E-04   7.36604E-13     1745.62  0
 5.81000E-04   2.25354E-04   6.81416E-05   9.96331E-05   6.94078E-13     1722.30  0
 6.01000E-04   2.24821E-04   6.45847E-05   9.87490E-05   6.50562E-13     1701.93  0
 6.21000E-04   2.24432E-04   6.22669E-05   9.78635E-05   6.06678E-13     1684.18  0
 6.41000E-04   2.24249E-04   5.86733E-05   9.70282E-05   5.62780E-13     1668.93  0
 6.61000E-04   2.24068E-04   5.56713E-05   9.62896E-05   5.18832E-13     1655.94  0
 6.81000E-04   2.23880E-04   5.31102E-05   9.57704E-05   4.75380E-13     1645.14  0
 7.01000E-04   2.23677E-04   4.97330E-05   9.55802E-05   4.32866E-13     1636.43  0
 7.21000E-04   2.23451E-04   4.76654E-05   9.54429E-05   3.91721E-13     1629.78  0
 7.41000E-04   2.23191E-04   4.41957E-05   9.53102E-05   4.34166E-13     1625.25  1
 7.61000E-04   4.61072E-05   1.03541E-04   4.25653E-05   5.55868E-13     1842.41  1
 7.81000E-04   7.11795E-05   1.10035E-04   6.25701E-05   6.51805E-13     2867.26  1
 8.01000E-04   8.89180E-05   1.12073E-04   7.22410E-05   7.44110E-13     3298.20  1
 8.21000E-04   1.08415E-04   1.13438E-04   8.04103E-05   8.39465E-13     3504.88  1
 8.41000E-04   1.27065E-04   1.14919E-04   8.32782E-05   9.41852E-13     3689.97  1
 8.61000E-04   1.42097E-04   1.16017E-04   8.54016E-05   1.06648E-12     3766.60  1
 8.81000E-04   2.92602E-04   1.16754E-04   1.88228E-04   1.20183E-12     3856.27  1
 9.01000E-04   2.86628E-04   1.17345E-04   1.88771E-04   1.34366E-12     3899.73  1
 9.21000E-04   2.78979E-04   1.17695E-04   1.89214E-04   1.49492E-12     3923.78  1
 9.41000E-04   2.73397E-04   1.18002E-04   1.87898E-04   1.65166E-12     3967.63  1
 9.61000E-04   2.68394E-04   1.18296E-04   1.89490E-04   1.80443E-12     3960.15  1
 9.81000E-04   2.61685E-04   1.18577E-04   1.88531E-04   1.96512E-12     3992.85  1
 1.00100E-03   2.60814E-04   1.18799E-04   1.86594E-04   2.12420E-12     4006.55  1
 1.02100E-03   2.74393E-04   1.18939E-04   1.81194E-04   2.28610E-12     4017.44  1
 1.04100E-03   2.91217E-04   1.19008E-04   1.79338E-04   2.43962E-12     4031.69  1
 1.06100E-03   3.08733E-04   1.18958E-04   1.78783E-04   2.59079E-12     4000.95  1
 1.08100E-03   3.21960E-04   1.18886E-04   1.77481E-04   2.73415E-12     4003.01  1
 1.10100E-03   3.38766E-04   1.18695E-04   1.76524E-04   2.87269E-12     3971.32  1
 1.12100E-03   3.52206E-04   1.18475E-04   1.76628E-04   3.00633E-12     3960.87  1
 1.14100E-03   3.69017E-04   1.18170E-04   1.76877E-04   3.13492E-12     3942.07  1
 1.16100E-03   3.82632E-04   1.17858E-04   1.77109E-04   3.25900E-12     3905.32  1
