# Melt Pool Geometry History
# time(s)  length(m)  depth(m)  width(m)  volume(m3)  Tpeak(K)  laser_on
 2.10000E-05   0.00000E+00   0.00000E+00   0.00000E+00   7.56719E-14      293.00  1
 4.10000E-05   3.85586E-05   1.02002E-04   3.69611E-05   2.31675E-13     1844.43  1
 6.10000E-05   6.69896E-05   1.09270E-04   5.92624E-05   3.47100E-13     2732.61  1
 8.10000E-05   8.94442E-05   1.11679E-04   6.80865E-05   4.66101E-13     3199.88  1
 1.01000E-04   1.09574E-04   1.12874E-04   7.65409E-05   5.93889E-13     3406.11  1
 1.21000E-04   1.25936E-04   1.13319E-04   7.94244E-05   5.91724E-13     3556.77  0
 1.41000E-04   1.27424E-04   1.12724E-04   8.01539E-05   5.73290E-13     3004.56  0
 1.61000E-04   1.28093E-04   1.09209E-04   8.04244E-05   5.53044E-13     2694.21  0
 1.81000E-04   1.28455E-04   1.06373E-04   7.99533E-05   5.25079E-13     2474.01  0
 2.01000E-04   1.28401E-04   1.01830E-04   7.91916E-05   4.78178E-13     2302.28  0
 2.21000E-04   1.28142E-04   9.75795E-05   8.35596E-05   4.51627E-13     2147.19  0
 2.41000E-04   1.28532E-04   9.23881E-05   8.40045E-05   4.23762E-13     2029.44  0
 2.61000E-04   1.28256E-04   8.65508E-05   8.38454E-05   3.97704E-13     1937.78  0
 2.81000E-04   1.27745E-04   8.05728E-05   8.33728E-05   3.72770E-13     1867.22  0
 3.01000E-04   1.27100E-04   7.47014E-05   8.26555E-05   3.49214E-13     1812.85  0
 3.21000E-04   1.26363E-04   6.89952E-05   8.17363E-05   3.26453E-13     1769.51  0
 3.41000E-04   1.25561E-04   6.35057E-05   8.06471E-05   3.03858E-13     1733.92  0
 3.61000E-04   1.24762E-04   5.83277E-05   7.94603E-05   2.80912E-13     1704.71  0
 3.81000E-04   1.24083E-04   5.34306E-05   7.82481E-05   2.57328E-13     1680.72  0
 4.01000E-04   1.23826E-04   4.88196E-05   7.70975E-05   2.33289E-13     1661.18  0
 4.21000E-04   1.23726E-04   4.46035E-05   7.61242E-05   2.09214E-13     1645.55  0
 4.41000E-04   1.23609E-04   4.10152E-05   7.56158E-05   1.85794E-13     1633.93  0
 4.61000E-04   1.23474E-04   3.78778E-05   7.54003E-05   1.63257E-13     1626.17  0
 4.81000E-04   1.23315E-04   3.40762E-05   7.51925E-05   1.41698E-13     1622.85  0
 5.01000E-04   1.23120E-04   3.12437E-05   7.49793E-05   1.21282E-13     1621.89  0
 5.21000E-04   1.22883E-04   2.84462E-05   7.47482E-05   1.01968E-13     1620.52  0
 5.41000E-04   1.22596E-04   2.55133E-05   7.44889E-05   8.34099E-14     1618.68  0
 5.61000E-04   1.22227E-04   2.33435E-05   7.41892E-05   6.61076E-14     1616.31  0
 5.81000E-04   1.21766E-04   2.06107E-05   7.38285E-05   4.97789E-14     1613.33  0
 6.01000E-04   1.21093E-04   1.85379E-05   7.33957E-05   3.49166E-14     1609.68  0
 6.21000E-04   1.12744E-04   1.62109E-05   7.28440E-05   1.23611E-13     1605.21  1
 6.41000E-04   5.51088E-05   1.05661E-04   5.10817E-05   3.06561E-13     1905.64  1
 6.61000E-04   1.67963E-04   1.10799E-04   1.18373E-04   4.63945E-13     2834.25  1
 6.81000E-04   1.56890E-04   1.13012E-04   1.21759E-04   6.19509E-13     3353.59  1
 7.01000E-04   1.39493E-04   1.14562E-04   1.09742E-04   7.79164E-13     3624.14  1
 7.21000E-04   1.45950E-04   1.16036E-04   1.08577E-04   9.40789E-13     3797.49  1
 7.41000E-04   1.61758E-04   1.16752E-04   1.15863E-04   1.09862E-12     3864.38  1
 7.61000E-04   1.74129E-04   1.17128E-04   1.21007E-04   1.25208E-12     3884.80  1
 7.81000E-04   1.89580E-04   1.17370E-04   1.24857E-04   1.40383E-12     3914.91  1
 8.01000E-04   2.03052E-04   1.17193E-04   1.29075E-04   1.56666E-12     3838.82  1
 8.21000E-04   2.25743E-04   1.16901E-04   1.31956E-04   1.70545E-12     3834.05  1
 8.41000E-04   2.39332E-04   1.16572E-04   1.35863E-04   1.71509E-12     3803.30  0
 8.61000E-04   2.41063E-04   1.15671E-04   1.43911E-04   1.71163E-12     3222.85  0
 8.81000E-04   2.41832E-04   1.14234E-04   1.46061E-04   1.69446E-12     2913.17  0
 9.01000E-04   2.42312E-04   1.13128E-04   1.47365E-04   1.66794E-12     2705.15  0
 9.21000E-04   2.42575E-04   1.10522E-04   1.48522E-04   1.63885E-12     2532.72  0
 9.41000E-04   2.42600E-04   1.08571E-04   1.49483E-04   1.59907E-12     2390.81  0
 9.61000E-04   2.42417E-04   1.06287E-04   1.50248E-04   1.55639E-12     2274.73  0
 9.81000E-04   2.42123E-04   1.03778E-04   1.50377E-04   1.50919E-12     2178.23  0
 1.00100E-03   2.40775E-04   1.00593E-04   1.49555E-04   1.44698E-12     2094.87  0
 1.02100E-03   2.41796E-04   9.83275E-05   1.53058E-04   1.40129E-12     2019.54  0
 1.04100E-03   2.40691E-04   9.54288E-05   1.54206E-04   1.34744E-12     1955.79  0
 1.06100E-03   2.39394E-04   9.31487E-05   1.54543E-04   1.29069E-12     1899.56  0
 1.08100E-03   2.38147E-04   8.99358E-05   1.54644E-04   1.23184E-12     1852.47  0
 1.10100E-03   2.37038E-04   8.78166E-05   1.54622E-04   1.17174E-12     1812.35  0
 1.12100E-03   2.36223E-04   8.43593E-05   1.54522E-04   1.11087E-12     1777.73  0
 1.14100E-03   2.35667E-04   8.23908E-05   1.54368E-04   1.04917E-12     1748.32  0
 1.16100E-03   2.35232E-04   7.88916E-05   1.54183E-04   9.86895E-13     1723.55  0
 1.18100E-03   2.34983E-04   7.64158E-05   1.53974E-04   9.24874E-13     1702.28  0
 1.20100E-03   2.34755E-04   7.35318E-05   1.53772E-04   8.63091E-13     1684.30  0
 1.22100E-03   2.34515E-04   7.05796E-05   1.53623E-04   8.01765E-13     1669.04  0
 1.24100E-03   2.34253E-04   6.81481E-05   1.53593E-04   7.42111E-13     1656.38  0
 1.26100E-03   2.33963E-04   6.48518E-05   1.53553E-04   6.83537E-13     1645.93  0
 1.28100E-03   2.33648E-04   6.27438E-05   1.53496E-04   6.26918E-13     1637.62  0
 1.30100E-03   2.33298E-04   5.92578E-05   1.53423E-04   5.72087E-13     1631.17  0
 1.32100E-03   2.32887E-04   5.70671E-05   1.53331E-04   5.19170E-13     1626.68  0
 1.34100E-03   2.32425E-04   5.38422E-05   1.53219E-04   5.73241E-13     1623.88  1
 1.36100E-03   2.91710E-04   1.06254E-04   1.72845E-04   7.25460E-13     1919.52  1
 1.38100E-03   2.95145E-04   1.11070E-04   1.83762E-04   8.60505E-13     2825.28  1
 1.40100E-03   2.90170E-04   1.13357E-04   1.86492E-04   1.00621E-12     3401.28  1
 1.42100E-03   2.87789E-04   1.15335E-04   1.88229E-04   1.15132E-12     3733.79  1
 1.44100E-03   2.86625E-04   1.16981E-04   1.89182E-04   1.29838E-12     3937.66  1
 1.46100E-03   2.80387E-04   1.17843E-04   1.89794E-04   1.45021E-12     4071.84  1
 1.48100E-03   2.78441E-04   1.18524E-04   1.90300E-04   1.62035E-12     4147.27  1
 1.50100E-03   2.71565E-04   1.19362E-04   1.95800E-04   1.80461E-12     4179.88  1
 1.52100E-03   2.64268E-04   1.20124E-04   1.96949E-04   1.98876E-12     4224.06  1
 1.54100E-03   2.63401E-04   1.20670E-04   1.97602E-04   2.17187E-12     4256.58  1
 1.56100E-03   2.72956E-04   1.20954E-04   1.96297E-04   2.35055E-12     4265.90  1
 1.58100E-03   2.85020E-04   1.21032E-04   1.96529E-04   2.52417E-12     4244.85  1
 1.60100E-03   2.94728E-04   1.20738E-04   1.95888E-04   2.73704E-12     4107.33  1
 1.62100E-03   3.07179E-04   1.20365E-04   1.97877E-04   2.90237E-12     4097.19  1
 1.64100E-03   3.19296E-04   1.19977E-04   1.98881E-04   3.05760E-12     4064.66  1
 1.66100E-03   3.31065E-04   1.19550E-04   1.99950E-04   3.20560E-12     4000.37  1
 1.68100E-03   3.48131E-04   1.19186E-04   2.02100E-04   3.34757E-12     3924.66  1
 1.70100E-03   3.61843E-04   1.18646E-04   2.03732E-04   3.35996E-12     3844.76  0
 1.72100E-03   3.62735E-04   1.17986E-04   2.08407E-04   3.35008E-12     3268.74  0
 1.74100E-03   3.63038E-04   1.16530E-04   2.10330E-04   3.32869E-12     2955.46  0
 1.76100E-03   3.63198E-04   1.14915E-04   2.11691E-04   3.29344E-12     2748.48  0
 1.78100E-03   3.63257E-04   1.13873E-04   2.12766E-04   3.24830E-12     2594.73  0
