# Melt Pool Geometry History
# time(s)  length(m)  depth(m)  width(m)  volume(m3)  Tpeak(K)  laser_on
 2.10000E-05   0.00000E+00   0.00000E+00   0.00000E+00   7.07671E-14      293.00  1
 4.10000E-05   3.57467E-05   9.94683E-05   3.36852E-05   2.26261E-13     1798.11  1
 6.10000E-05   7.41705E-05   1.07550E-04   5.65709E-05   3.49990E-13     2369.13  1
 8.10000E-05   1.02490E-04   1.07960E-04   6.03538E-05   4.77408E-13     2605.07  1
 1.01000E-04   1.30264E-04   1.08094E-04   6.27687E-05   5.93051E-13     2716.88  1
 1.21000E-04   1.60169E-04   1.08085E-04   6.36237E-05   7.12185E-13     2682.88  1
 1.41000E-04   1.85085E-04   1.08077E-04   6.41971E-05   8.15942E-13     2737.11  1
 1.61000E-04   2.17396E-04   1.08125E-04   6.45833E-05   7.81531E-13     2663.36  0
 1.81000E-04   2.19158E-04   1.03882E-04   6.46505E-05   7.37098E-13     2472.44  0
 2.01000E-04   2.18697E-04   9.87962E-05   6.43793E-05   6.64246E-13     2294.50  0
 2.21000E-04   2.17516E-04   9.37618E-05   6.78070E-05   6.24514E-13     2078.69  0
 2.41000E-04   2.16318E-04   8.82668E-05   6.91284E-05   5.81881E-13     1949.59  0
 2.61000E-04   2.15332E-04   8.29304E-05   6.92051E-05   5.41296E-13     1860.66  0
 2.81000E-04   2.14562E-04   7.66477E-05   6.88373E-05   5.03621E-13     1797.58  0
 3.01000E-04   2.14094E-04   6.97947E-05   6.82416E-05   4.67693E-13     1751.82  0
 3.21000E-04   2.13793E-04   6.37541E-05   6.75126E-05   4.32991E-13     1717.94  0
 3.41000E-04   2.13649E-04   5.81371E-05   6.67177E-05   3.98457E-13     1691.01  0
 3.61000E-04   2.13496E-04   5.30223E-05   6.59206E-05   3.64016E-13     1669.26  0
 3.81000E-04   2.13327E-04   4.83423E-05   6.52166E-05   3.29816E-13     1652.06  0
 4.01000E-04   2.13139E-04   4.41415E-05   6.47941E-05   2.96230E-13     1638.97  0
 4.21000E-04   2.12927E-04   4.07404E-05   6.45949E-05   2.63522E-13     1629.74  0
 4.41000E-04   2.12676E-04   3.79413E-05   6.45066E-05   2.32391E-13     1624.22  0
 4.61000E-04   2.12379E-04   3.44143E-05   6.44105E-05   2.02607E-13     1622.60  0
 4.81000E-04   2.12011E-04   3.25377E-05   6.43005E-05   1.74473E-13     1621.69  0
 5.01000E-04   2.11539E-04   2.91844E-05   6.41722E-05   1.47551E-13     1620.42  0
 5.21000E-04   2.10253E-04   2.75782E-05   6.40226E-05   1.22427E-13     1618.79  0
 5.41000E-04   2.01201E-04   2.44396E-05   6.38418E-05   9.87785E-14     1616.74  0
 5.61000E-04   1.92555E-04   2.29094E-05   6.36214E-05   7.68214E-14     1614.25  0
 5.81000E-04   1.89886E-04   2.01155E-05   6.33589E-05   5.69643E-14     1611.23  0
 6.01000E-04   1.68935E-04   1.83092E-05   5.82851E-05   3.58710E-14     1607.30  0
 6.21000E-04   1.52070E-04   1.59540E-05   6.26885E-05   2.17743E-14     1603.00  0
