# Melt Pool Geometry History
# time(s)  length(m)  depth(m)  width(m)  volume(m3)  Tpeak(K)  laser_on
 2.10000E-05   0.00000E+00   0.00000E+00   0.00000E+00   7.60222E-14      293.00  1
 4.10000E-05   4.40872E-05   1.00963E-04   3.43787E-05   2.30004E-13     1807.87  1
 6.10000E-05   7.13886E-05   1.08218E-04   6.10401E-05   3.46118E-13     2574.69  1
 8.10000E-05   9.38462E-05   1.09937E-04   7.09419E-05   4.75000E-13     2979.67  1
 1.01000E-04   1.16422E-04   1.11089E-04   7.48246E-05   6.03362E-13     3096.80  1
 1.21000E-04   1.37656E-04   1.11445E-04   7.68033E-05   7.27655E-13     3140.64  1
 1.41000E-04   1.58951E-04   1.11513E-04   7.84139E-05   8.51107E-13     3147.59  1
 1.61000E-04   1.80448E-04   1.11472E-04   7.90164E-05   9.74479E-13     3141.05  1
 1.81000E-04   2.01819E-04   1.11475E-04   7.95670E-05   1.09557E-12     3121.28  1
 2.01000E-04   2.22837E-04   1.11272E-04   7.97650E-05   1.22795E-12     3093.56  1
 2.21000E-04   2.43970E-04   1.11244E-04   8.50300E-05   1.34072E-12     3144.32  1
 2.41000E-04   2.67205E-04   1.11748E-04   8.60917E-05   1.45044E-12     3199.00  1
 2.61000E-04   2.87566E-04   1.11845E-04   8.68073E-05   1.40722E-12     3196.29  0
 2.81000E-04   2.88668E-04   1.09264E-04   8.74104E-05   1.35104E-12     2737.68  0
 3.01000E-04   2.88904E-04   1.07608E-04   8.79238E-05   1.29006E-12     2477.16  0
 3.21000E-04   2.88927E-04   1.03361E-04   8.83386E-05   1.22811E-12     2308.29  0
 3.41000E-04   2.88841E-04   9.91876E-05   8.86513E-05   1.16989E-12     2194.01  0
 3.61000E-04   2.88635E-04   9.54349E-05   8.88447E-05   1.11439E-12     2104.57  0
 3.81000E-04   2.88311E-04   9.19523E-05   8.88978E-05   1.06150E-12     2034.30  0
 4.01000E-04   2.85491E-04   8.77764E-05   8.78870E-05   1.00769E-12     1974.11  0
 4.21000E-04   2.91880E-04   8.33274E-05   8.82566E-05   9.62550E-13     1918.62  0
 4.41000E-04   2.92406E-04   7.90489E-05   8.88025E-05   9.14410E-13     1867.96  0
 4.61000E-04   2.92449E-04   7.51924E-05   8.89235E-05   8.65140E-13     1825.24  0
 4.81000E-04   2.92330E-04   7.19344E-05   8.87210E-05   8.14873E-13     1788.14  0
 5.01000E-04   2.92192E-04   6.81230E-05   8.83275E-05   7.64394E-13     1756.20  0
 5.21000E-04   2.92148E-04   6.42414E-05   8.78087E-05   7.14206E-13     1728.63  0
 5.41000E-04   2.92108E-04   6.11337E-05   8.72152E-05   6.63703E-13     1705.56  0
 5.61000E-04   2.92037E-04   5.80814E-05   8.65818E-05   6.13818E-13     1685.73  0
 5.81000E-04   2.91937E-04   5.44213E-05   8.59827E-05   5.64102E-13     1669.06  0
 6.01000E-04   2.90420E-04   5.19562E-05   8.40642E-05   5.00628E-13     1654.49  0
 6.21000E-04   2.91218E-04   4.86596E-05   8.47935E-05   4.52988E-13     1642.97  0
 6.41000E-04   2.91029E-04   4.58123E-05   8.47333E-05   4.07069E-13     1634.11  0
 6.61000E-04   2.90719E-04   4.33004E-05   8.46600E-05   3.63206E-13     1627.70  0
 6.81000E-04   2.83940E-04   4.03192E-05   8.45777E-05   3.21580E-13     1623.82  0
 7.01000E-04   2.76468E-04   3.82299E-05   8.44882E-05   2.82548E-13     1622.69  0
 7.21000E-04   2.61071E-04   3.54102E-05   8.43907E-05   2.46238E-13     1622.02  0
 7.41000E-04   2.46654E-04   3.34104E-05   8.42820E-05   2.12675E-13     1621.09  0
 7.61000E-04   2.32971E-04   3.09561E-05   8.41605E-05   2.68839E-13     1619.90  1
 7.81000E-04   4.35853E-05   1.03851E-04   4.21159E-05   3.87497E-13     1869.34  1
 8.01000E-04   7.09816E-05   1.09163E-04   6.20554E-05   5.00058E-13     2708.67  1
 8.21000E-04   9.51557E-05   1.11017E-04   6.94875E-05   6.09818E-13     3070.48  1
 8.41000E-04   1.19847E-04   1.11867E-04   7.21112E-05   7.21287E-13     3197.58  1
 8.61000E-04   1.39271E-04   1.12237E-04   7.36769E-05   8.28390E-13     3260.83  1
 8.81000E-04   1.60677E-04   1.12484E-04   7.48734E-05   9.35316E-13     3274.33  1
 9.01000E-04   1.81904E-04   1.12660E-04   7.59184E-05   1.04749E-12     3282.19  1
 9.21000E-04   2.03112E-04   1.12800E-04   7.68201E-05   1.16297E-12     3310.27  1
 9.41000E-04   2.24353E-04   1.12921E-04   7.76391E-05   1.27938E-12     3326.54  1
 9.61000E-04   2.45806E-04   1.13012E-04   7.84391E-05   1.39352E-12     3330.31  1
 9.81000E-04   2.70571E-04   1.13070E-04   7.92352E-05   1.51737E-12     3348.66  1
 1.00100E-03   2.88721E-04   1.12598E-04   8.22127E-05   1.68832E-12     3272.45  1
 1.02100E-03   3.11125E-04   1.12764E-04   8.85873E-05   1.81101E-12     3259.98  1
 1.04100E-03   3.31482E-04   1.12883E-04   9.06744E-05   1.92825E-12     3256.19  1
 1.06100E-03   3.51189E-04   1.12884E-04   9.18901E-05   2.03692E-12     3249.71  1
 1.08100E-03   3.71546E-04   1.12823E-04   9.28481E-05   2.14052E-12     3224.70  1
 1.10100E-03   3.91987E-04   1.12723E-04   9.36060E-05   2.25380E-12     3245.82  1
 1.12100E-03   4.12649E-04   1.12633E-04   9.74333E-05   2.36438E-12     3263.88  1
 1.14100E-03   4.33516E-04   1.12531E-04   9.91628E-05   2.47089E-12     3277.01  1
 1.16100E-03   4.57285E-04   1.12383E-04   9.99846E-05   2.56882E-12     3298.21  1
 1.18100E-03   4.76793E-04   1.12220E-04   1.00595E-04   2.66051E-12     3288.34  1
 1.20100E-03   4.95672E-04   1.12068E-04   1.01152E-04   2.74547E-12     3287.10  1
 1.22100E-03   5.22723E-04   1.11903E-04   1.01662E-04   2.82248E-12     3270.66  1
 1.24100E-03   5.43741E-04   1.11965E-04   1.02099E-04   2.74414E-12     3269.60  0
 1.26100E-03   5.45538E-04   1.09516E-04   1.02511E-04   2.65679E-12     2808.06  0
 1.28100E-03   5.45410E-04   1.07818E-04   1.02880E-04   2.56134E-12     2534.93  0
 1.30100E-03   5.43407E-04   1.03684E-04   1.03203E-04   2.46290E-12     2356.96  0
 1.32100E-03   5.40400E-04   1.00043E-04   1.03480E-04   2.36543E-12     2235.02  0
 1.34100E-03   5.38218E-04   9.70489E-05   1.03731E-04   2.26814E-12     2145.93  0
 1.36100E-03   5.35069E-04   9.30927E-05   1.03971E-04   2.17536E-12     2073.22  0
 1.38100E-03   5.28798E-04   8.89782E-05   1.04145E-04   2.08604E-12     2012.02  0
 1.40100E-03   5.23302E-04   8.50057E-05   1.02373E-04   1.96322E-12     1957.10  0
 1.42100E-03   5.21746E-04   8.22215E-05   1.04394E-04   1.87524E-12     1900.24  0
 1.44100E-03   5.14846E-04   7.83504E-05   1.05390E-04   1.78126E-12     1847.26  0
 1.46100E-03   5.11424E-04   7.46280E-05   1.05926E-04   1.68575E-12     1801.09  0
 1.48100E-03   5.04099E-04   7.20469E-05   1.06187E-04   1.59118E-12     1762.59  0
 1.50100E-03   5.00337E-04   6.84789E-05   1.06307E-04   1.49738E-12     1731.88  0
 1.52100E-03   4.93494E-04   6.51884E-05   1.06352E-04   1.40529E-12     1706.80  0
 1.54100E-03   4.88318E-04   6.28180E-05   1.06371E-04   1.31422E-12     1686.10  0
 1.56100E-03   4.82896E-04   5.92417E-05   1.06473E-04   1.22553E-12     1669.32  0
 1.58100E-03   4.76678E-04   5.69975E-05   1.06594E-04   1.13841E-12     1655.72  0
 1.60100E-03   4.72093E-04   5.33275E-05   1.06131E-04   1.02873E-12     1644.70  0
 1.62100E-03   4.65097E-04   5.06910E-05   1.11689E-04   9.46544E-13     1635.72  0
 1.64100E-03   4.61214E-04   4.83114E-05   1.12119E-04   8.67953E-13     1629.36  0
 1.66100E-03   4.53593E-04   4.55483E-05   1.12428E-04   7.92701E-13     1625.05  0
 1.68100E-03   4.47058E-04   4.36072E-05   1.12650E-04   7.21506E-13     1623.01  0
 1.70100E-03   4.34666E-04   4.16267E-05   1.12812E-04   6.53906E-13     1622.57  0
 1.72100E-03   4.24001E-04   3.92794E-05   1.12926E-04   5.89417E-13     1621.98  0
 1.74100E-03   4.13171E-04   3.78885E-05   1.13001E-04   6.07160E-13     1621.25  1
