# Melt Pool Geometry History
# time(s)  length(m)  depth(m)  width(m)  volume(m3)  Tpeak(K)  laser_on
 2.10000E-05   0.00000E+00   0.00000E+00   0.00000E+00   7.73429E-14      293.00  1
 4.10000E-05   3.78133E-05   1.00027E-04   3.37799E-05   2.22134E-13     1799.95  1
 6.10000E-05   7.13135E-05   1.07953E-04   5.88497E-05   3.43237E-13     2494.03  1
 8.10000E-05   9.82749E-05   1.08798E-04   6.43026E-05   4.72705E-13     2832.78  1
 1.01000E-04   1.23402E-04   1.09091E-04   6.68393E-05   5.76696E-13     2976.78  1
 1.21000E-04   1.48226E-04   1.09243E-04   6.77273E-05   6.82776E-13     2964.33  1
 1.41000E-04   1.72819E-04   1.09367E-04   6.86181E-05   7.92830E-13     3009.00  1
 1.61000E-04   1.98013E-04   1.09261E-04   6.91609E-05   9.06001E-13     3051.31  1
 1.81000E-04   2.20599E-04   1.09191E-04   6.96143E-05   1.00772E-12     3066.39  1
 2.01000E-04   2.46256E-04   1.09046E-04   6.99828E-05   1.17081E-12     2966.62  1
 2.21000E-04   2.71836E-04   1.09462E-04   7.41844E-05   1.12164E-12     2890.65  0
 2.41000E-04   2.74477E-04   1.07458E-04   7.54632E-05   1.06265E-12     2486.96  0
 2.61000E-04   2.75625E-04   1.02962E-04   7.61806E-05   1.00226E-12     2294.05  0
 2.81000E-04   2.75801E-04   9.83254E-05   7.66877E-05   9.42986E-13     2173.00  0
 3.01000E-04   2.75706E-04   9.35094E-05   7.70531E-05   8.90506E-13     2083.43  0
 3.21000E-04   2.75512E-04   8.86111E-05   7.81417E-05   8.44458E-13     2000.44  0
 3.41000E-04   2.75340E-04   8.35325E-05   7.88071E-05   7.99857E-13     1930.50  0
 3.61000E-04   2.75091E-04   7.86426E-05   7.90644E-05   7.57206E-13     1876.03  0
 3.81000E-04   2.74742E-04   7.37224E-05   7.89542E-05   7.15094E-13     1829.47  0
 4.01000E-04   2.69592E-04   6.89324E-05   7.86183E-05   6.67786E-13     1789.79  0
 4.21000E-04   2.75165E-04   6.47322E-05   7.81300E-05   6.26140E-13     1755.83  0
 4.41000E-04   2.73924E-04   6.10342E-05   7.75339E-05   5.83691E-13     1726.91  0
 4.61000E-04   2.73382E-04   5.77348E-05   7.68953E-05   5.41024E-13     1702.46  0
 4.81000E-04   2.72995E-04   5.37375E-05   7.62240E-05   4.98209E-13     1681.96  0
 5.01000E-04   2.72625E-04   5.04420E-05   7.56007E-05   4.55630E-13     1664.84  0
 5.21000E-04   2.72197E-04   4.78892E-05   7.51345E-05   4.13521E-13     1650.84  0
 5.41000E-04   2.68210E-04   4.42843E-05   7.47576E-05   3.72047E-13     1639.63  0
 5.61000E-04   2.64132E-04   4.21109E-05   7.46162E-05   3.32347E-13     1631.25  0
 5.81000E-04   2.62128E-04   3.89109E-05   7.45155E-05   2.94316E-13     1625.62  0
 6.01000E-04   2.57204E-04   3.61393E-05   7.31368E-05   2.48467E-13     1622.92  0
 6.21000E-04   2.51870E-04   3.36721E-05   7.42509E-05   2.14899E-13     1622.25  0
 6.41000E-04   2.43126E-04   3.14787E-05   7.41407E-05   1.83594E-13     1621.29  0
 6.61000E-04   2.34890E-04   2.89768E-05   7.40133E-05   1.54624E-13     1620.01  0
 6.81000E-04   2.28377E-04   2.75326E-05   7.38657E-05   1.28252E-13     1618.38  0
 7.01000E-04   2.11677E-04   2.45999E-05   7.36899E-05   1.04359E-13     1616.35  0
 7.21000E-04   1.93228E-04   2.33069E-05   7.34820E-05   1.58975E-13     1613.95  1
 7.41000E-04   4.71075E-05   1.03154E-04   4.12221E-05   2.96286E-13     1833.53  1
 7.61000E-04   7.52361E-05   1.08603E-04   5.95672E-05   4.17721E-13     2619.98  1
 7.81000E-04   1.02703E-04   1.09828E-04   6.42190E-05   5.28557E-13     2892.35  1
 8.01000E-04   1.23433E-04   1.09687E-04   6.56010E-05   6.50412E-13     2927.64  1
 8.21000E-04   1.51958E-04   1.10089E-04   7.10885E-05   7.74525E-13     2933.22  1
 8.41000E-04   1.73098E-04   1.10446E-04   7.30788E-05   8.96629E-13     2964.70  1
 8.61000E-04   2.01471E-04   1.10651E-04   7.40852E-05   1.02037E-12     2948.86  1
