# Melt Pool Geometry History
# time(s)  length(m)  depth(m)  width(m)  volume(m3)  Tpeak(K)  laser_on
 2.10000E-05   0.00000E+00   0.00000E+00   0.00000E+00   8.50563E-14      293.00  1
 4.10000E-05   4.48893E-05   1.03768E-04   4.37140E-05   2.31631E-13     1937.73  1
 6.10000E-05   7.19063E-05   1.09077E-04   5.61634E-05   3.76932E-13     2725.20  1
 8.10000E-05   1.00044E-04   1.10430E-04   6.08307E-05   5.11819E-13     2937.35  1
 1.01000E-04   1.25494E-04   1.10787E-04   6.20090E-05   6.45758E-13     3005.40  1
 1.21000E-04   1.51400E-04   1.10983E-04   6.29625E-05   7.71154E-13     3082.06  1
 1.41000E-04   1.76504E-04   1.11036E-04   6.34096E-05   8.87703E-13     3062.96  1
 1.61000E-04   2.00969E-04   1.10937E-04   6.35900E-05   9.97633E-13     3059.90  1
 1.81000E-04   2.25539E-04   1.10915E-04   6.38313E-05   1.11446E-12     3085.73  1
 2.01000E-04   2.46496E-04   1.09523E-04   6.39700E-05   1.14568E-12     2956.73  1
 2.21000E-04   2.72360E-04   1.09548E-04   7.02696E-05   1.24336E-12     2894.18  1
 2.41000E-04   2.97058E-04   1.09761E-04   7.31077E-05   1.34834E-12     2911.79  1
 2.61000E-04   3.22845E-04   1.09948E-04   7.69440E-05   1.30186E-12     2895.75  0
 2.81000E-04   3.24873E-04   1.07768E-04   7.87122E-05   1.24763E-12     2536.07  0
 3.01000E-04   3.26117E-04   1.03400E-04   7.95982E-05   1.19077E-12     2347.53  0
 3.21000E-04   3.26319E-04   9.88044E-05   8.01233E-05   1.12886E-12     2214.12  0
 3.41000E-04   3.26199E-04   9.41351E-05   8.03758E-05   1.07235E-12     2105.42  0
 3.61000E-04   3.25886E-04   8.92516E-05   8.04258E-05   1.01556E-12     2012.75  0
 3.81000E-04   3.25605E-04   8.40870E-05   8.03027E-05   9.59793E-13     1936.61  0
 4.01000E-04   3.24580E-04   7.91484E-05   7.93817E-05   8.76002E-13     1874.82  0
 4.21000E-04   3.23714E-04   7.43783E-05   8.21285E-05   8.27029E-13     1817.05  0
 4.41000E-04   3.23286E-04   6.97176E-05   8.28739E-05   7.74090E-13     1770.79  0
