# Thermal History - 10 Monitoring Points
# Columns: time(s)  T1..T10 (K)
# Point physical coordinates:
#  P 1:  x= 4.000E-04m  y= 1.000E-03m  z= 6.950E-04m
#  P 2:  x= 1.000E-03m  y= 1.000E-03m  z= 6.950E-04m
#  P 3:  x= 1.600E-03m  y= 1.000E-03m  z= 6.950E-04m
#  P 4:  x= 1.000E-03m  y= 1.000E-03m  z= 6.600E-04m
#  P 5:  x= 1.000E-03m  y= 1.000E-03m  z= 6.000E-04m
#  P 6:  x= 1.000E-03m  y= 1.050E-03m  z= 6.950E-04m
#  P 7:  x= 1.000E-03m  y= 1.200E-03m  z= 6.950E-04m
#  P 8:  x= 1.000E-03m  y= 1.500E-03m  z= 6.950E-04m
#  P 9:  x= 1.000E-03m  y= 1.800E-03m  z= 6.950E-04m
#  P10:  x= 1.000E-03m  y= 1.000E-03m  z= 2.000E-04m
#  time(s)    T 1(K)       T 2(K)       T 3(K)       T 4(K)       T 5(K)       T 6(K)       T 7(K)       T 8(K)       T 9(K)       T10(K)       
 1.10100E-03     293.000     293.009     293.000     293.017     293.018     293.009     293.009     293.009     293.010     293.000
 1.12100E-03     293.000     293.009     293.000     293.016     293.017     293.009     293.009     293.009     293.010     293.000
 1.14100E-03     293.000     293.009     293.000     293.015     293.016     293.009     293.009     293.009     293.010     293.000
 1.16100E-03     293.000     293.009     293.000     293.014     293.015     293.009     293.009     293.009     293.010     293.000
 1.18100E-03     293.000     293.009     293.000     293.014     293.014     293.009     293.009     293.009     293.010     293.000
 1.20100E-03     293.000     293.009     293.000     293.013     293.013     293.009     293.009     293.009     293.010     293.000
 1.22100E-03     293.000     293.009     293.000     293.012     293.012     293.009     293.009     293.009     293.010     293.000
 1.24100E-03     293.000     293.009     293.000     293.012     293.011     293.009     293.009     293.009     293.010     293.000
 1.26100E-03     293.000     293.009     293.000     293.011     293.010     293.009     293.009     293.010     293.010     293.000
 1.28100E-03     293.000     293.009     293.000     293.010     293.009     293.009     293.009     293.010     293.010     293.000
 1.30100E-03     293.000     293.009     293.000     293.010     293.009     293.009     293.009     293.010     293.010     293.000
 1.32100E-03     293.000     293.009     293.000     293.009     293.008     293.009     293.009     293.010     293.010     293.000
 1.34100E-03     293.000     293.009     293.000     293.008     293.007     293.009     293.009     293.010     293.010     293.000
 1.36100E-03     293.000     293.009     293.000     293.007     293.006     293.009     293.009     293.010     293.010     293.000
 1.38100E-03     293.000     293.009     293.000     293.008     293.006     293.009     293.009     293.010     293.010     293.000
 1.40100E-03     293.000     293.009     293.000     293.008     293.006     293.009     293.009     293.010     293.010     293.000
 1.42100E-03     293.000     293.010     293.000     293.008     293.006     293.010     293.009     293.010     293.010     293.000
 1.44100E-03     293.000     293.010     293.000     293.008     293.006     293.010     293.009     293.010     293.010     293.000
 1.46100E-03     293.000     293.010     293.000     293.008     293.006     293.010     293.010     293.010     293.011     293.000
 1.48100E-03     293.000     293.010     293.000     293.008     293.007     293.010     293.010     293.010     293.011     293.000
 1.50100E-03     293.000     293.010     293.000     293.009     293.007     293.010     293.010     293.010     293.011     293.000
 1.52100E-03     293.000     293.010     293.000     293.009     293.008     293.010     293.010     293.010     293.011     293.000
 1.54100E-03     293.000     293.010     293.000     293.010     293.008     293.010     293.010     293.010     293.011     293.000
 1.56100E-03     293.000     293.010     293.000     293.009     293.008     293.010     293.010     293.010     293.011     293.000
 1.58100E-03     293.000     293.010     293.000     293.010     293.009     293.010     293.010     293.011     293.011     293.000
 1.60100E-03     293.000     293.010     293.000     293.010     293.009     293.010     293.010     293.011     293.011     293.000
 1.62100E-03     293.000     293.010     293.000     293.010     293.009     293.010     293.010     293.011     293.011     293.000
 1.64100E-03     293.000     293.010     293.000     293.011     293.010     293.010     293.010     293.011     293.011     293.000
 1.66100E-03     293.000     293.010     293.000     293.011     293.010     293.010     293.010     293.011     293.011     293.000
 1.68100E-03     293.000     293.010     293.000     293.012     293.011     293.010     293.010     293.011     293.011     293.000
 1.70100E-03     293.000     293.010     293.000     293.012     293.011     293.010     293.010     293.011     293.011     293.000
 1.72100E-03     293.000     293.010     293.000     293.013     293.012     293.011     293.010     293.011     293.011     293.000
