# Thermal History - 10 Monitoring Points
# Columns: time(s)  T1..T10 (K)
# Point coordinates (nearest cell centres):
#  P 1:  x= 9.950E-04m  y= 4.950E-04m  z= 6.925E-04m   => i= 101  j=  51  k=  50
#  P 2:  x= 1.995E-03m  y= 4.950E-04m  z= 6.925E-04m   => i= 201  j=  51  k=  50
#  P 3:  x= 2.995E-03m  y= 4.950E-04m  z= 6.925E-04m   => i= 301  j=  51  k=  50
#  P 4:  x= 1.995E-03m  y= 4.950E-04m  z= 6.575E-04m   => i= 201  j=  51  k=  43
#  P 5:  x= 1.995E-03m  y= 4.950E-04m  z= 5.975E-04m   => i= 201  j=  51  k=  31
#  P 6:  x= 1.995E-03m  y= 5.950E-04m  z= 6.925E-04m   => i= 201  j=  61  k=  50
#  P 7:  x= 1.995E-03m  y= 6.450E-04m  z= 6.925E-04m   => i= 201  j=  66  k=  50
#  P 8:  x= 1.995E-03m  y= 7.950E-04m  z= 6.925E-04m   => i= 201  j=  81  k=  50
#  P 9:  x= 1.995E-03m  y= 1.495E-03m  z= 6.925E-04m   => i= 201  j= 151  k=  50
#  P10:  x= 1.995E-03m  y= 4.950E-04m  z= 1.747E-04m   => i= 201  j=  51  k=   4
#  time(s)    T 1(K)       T 2(K)       T 3(K)       T 4(K)       T 5(K)       T 6(K)       T 7(K)       T 8(K)       T 9(K)       T10(K)       
 1.02100E-03    1617.405     293.000     293.000     293.000     293.000     293.000     293.000     293.000     293.000     293.000
 1.04100E-03    1615.339     293.000     293.000     293.000     293.000     293.000     293.000     293.000     293.000     293.000
 1.06100E-03    1612.974     293.000     293.000     293.000     293.000     293.000     293.000     293.000     293.000     293.000
 1.08100E-03    1610.320     293.000     293.000     293.000     293.000     293.000     293.000     293.000     293.000     293.000
 1.10100E-03    1607.275     293.000     293.000     293.000     293.000     293.000     293.000     293.000     293.000     293.000
 1.12100E-03    1603.852     293.000     293.000     293.016     293.013     293.000     293.000     293.000     293.000     293.000
 1.14100E-03    1600.127     293.005     293.000     293.389     293.295     293.000     293.000     293.000     293.000     293.000
 1.16100E-03    1595.929     294.671     293.000     303.195     300.443     293.000     293.000     293.000     293.000     293.000
 1.18100E-03    1591.100     465.951     293.000     503.345     446.600     292.999     292.999     293.000     293.000     293.000
 1.20100E-03    1585.926    1792.376     293.000    1545.406    1281.732     292.970     292.960     293.000     293.000     293.000
 1.22100E-03    1580.017    2810.100     293.000    2526.125    1983.274     292.983     292.966     293.000     293.000     293.000
 1.24100E-03    1572.396    2802.084     293.000    2539.497    1877.763     293.010     292.970     293.000     293.000     293.000
 1.26100E-03    1564.454    2618.571     293.000    2335.689    1700.488     293.058     292.972     293.000     293.000     293.000
