# Melt Pool Geometry History
# time(s)  length(m)  depth(m)  width(m)  volume(m3)  Tpeak(K)  laser_on
 2.10000E-05   0.00000E+00   0.00000E+00   0.00000E+00   7.46321E-14      293.00  1
 4.10000E-05   3.55635E-05   9.93764E-05   3.31229E-05   2.24931E-13     1822.90  1
 6.10000E-05   7.04735E-05   1.07518E-04   5.48742E-05   3.46921E-13     2459.11  1
 8.10000E-05   1.04305E-04   1.07993E-04   6.03286E-05   4.75019E-13     2577.18  1
 1.01000E-04   1.28617E-04   1.07972E-04   6.28086E-05   5.92618E-13     2718.59  1
 1.21000E-04   1.60946E-04   1.08094E-04   6.37469E-05   7.14068E-13     2652.85  1
 1.41000E-04   1.88554E-04   1.07949E-04   6.42773E-05   8.24102E-13     2737.60  1
 1.61000E-04   2.16604E-04   1.08097E-04   6.48423E-05   9.24977E-13     2757.77  1
 1.81000E-04   2.45294E-04   1.08003E-04   6.51151E-05   8.83913E-13     2728.73  0
 2.01000E-04   2.46011E-04   1.03139E-04   6.51622E-05   7.88321E-13     2497.94  0
 2.21000E-04   2.46927E-04   9.89311E-05   7.21485E-05   7.42371E-13     2208.20  0
 2.41000E-04   2.46867E-04   9.42383E-05   7.40677E-05   6.98951E-13     2047.44  0
 2.61000E-04   2.46609E-04   8.91126E-05   7.49081E-05   6.56046E-13     1942.51  0
 2.81000E-04   2.46251E-04   8.34349E-05   7.51512E-05   6.15635E-13     1869.60  0
 3.01000E-04   2.45800E-04   7.78713E-05   7.52991E-05   5.80053E-13     1813.93  0
 3.21000E-04   2.45254E-04   7.13260E-05   7.48237E-05   5.44727E-13     1768.35  0
 3.41000E-04   2.44661E-04   6.50927E-05   7.44682E-05   5.09715E-13     1731.45  0
 3.61000E-04   2.44079E-04   5.95289E-05   7.40808E-05   4.74327E-13     1702.36  0
 3.81000E-04   2.43592E-04   5.44882E-05   7.37439E-05   4.38312E-13     1679.54  0
 4.01000E-04   2.42032E-04   4.95891E-05   7.22301E-05   3.85303E-13     1660.70  0
 4.21000E-04   2.42922E-04   4.60140E-05   7.38988E-05   3.48780E-13     1646.23  0
 4.41000E-04   2.42686E-04   4.28971E-05   7.37265E-05   3.13101E-13     1635.25  0
 4.61000E-04   2.42384E-04   3.92850E-05   7.36442E-05   2.79020E-13     1627.65  0
 4.81000E-04   2.41986E-04   3.69065E-05   7.35607E-05   2.46403E-13     1623.47  0
 5.01000E-04   2.41477E-04   3.38362E-05   7.34788E-05   2.15576E-13     1622.46  0
 5.21000E-04   2.40777E-04   3.21141E-05   7.33962E-05   1.86431E-13     1621.52  0
 5.41000E-04   2.33147E-04   2.89151E-05   7.33091E-05   1.59090E-13     1620.23  0
 5.61000E-04   2.30011E-04   2.83929E-05   7.32143E-05   1.33606E-13     1618.60  0
 5.81000E-04   2.15612E-04   2.81137E-05   7.31083E-05   1.10000E-13     1616.59  0
 6.01000E-04   1.98208E-04   2.75107E-05   6.94963E-05   8.37821E-14     1614.01  0
 6.21000E-04   1.79986E-04   2.72514E-05   7.34391E-05   6.46909E-14     1611.24  0
 6.41000E-04   1.62606E-04   2.39089E-05   7.31426E-05   4.78430E-14     1608.06  0
 6.61000E-04   1.51351E-04   2.28716E-05   7.28377E-05   3.34217E-14     1604.48  0
 6.81000E-04   1.33112E-04   2.15109E-05   7.25043E-05   9.87038E-14     1600.37  1
 7.01000E-04   4.78306E-05   1.02523E-04   4.55412E-05   2.47236E-13     1810.16  1
 7.21000E-04   7.83568E-05   1.07992E-04   5.71318E-05   3.75685E-13     2478.23  1
 7.41000E-04   1.06914E-04   1.08445E-04   6.14321E-05   4.99246E-13     2688.04  1
 7.61000E-04   1.35888E-04   1.08644E-04   6.27461E-05   6.21222E-13     2723.14  1
 7.81000E-04   1.65540E-04   1.08730E-04   6.35536E-05   7.43746E-13     2732.02  1
 8.01000E-04   1.94295E-04   1.08682E-04   6.40910E-05   8.56283E-13     2720.48  1
 8.21000E-04   2.23913E-04   1.08858E-04   6.48162E-05   9.66381E-13     2743.68  1
 8.41000E-04   2.53561E-04   1.09036E-04   6.52821E-05   1.07413E-12     2761.94  1
 8.61000E-04   2.83707E-04   1.09205E-04   6.56584E-05   1.18026E-12     2783.30  1
 8.81000E-04   3.12989E-04   1.09300E-04   6.60861E-05   1.27648E-12     2797.14  1
 9.01000E-04   3.42296E-04   1.09304E-04   6.65114E-05   1.37366E-12     2800.89  1
 9.21000E-04   3.72265E-04   1.09211E-04   6.69343E-05   1.46575E-12     2786.35  1
 9.41000E-04   4.02182E-04   1.09061E-04   6.73772E-05   1.54444E-12     2784.09  1
 9.61000E-04   4.31768E-04   1.08944E-04   6.77964E-05   1.62015E-12     2819.41  1
 9.81000E-04   4.61406E-04   1.08847E-04   6.82128E-05   1.68931E-12     2831.67  1
 1.00100E-03   4.72906E-04   1.08592E-04   6.85532E-05   1.76104E-12     2784.60  1
 1.02100E-03   5.04611E-04   1.08615E-04   7.01607E-05   1.83054E-12     2741.80  1
 1.04100E-03   5.34071E-04   1.08551E-04   7.13844E-05   1.89555E-12     2719.31  1
 1.06100E-03   5.62583E-04   1.08533E-04   7.20481E-05   1.80559E-12     2726.33  0
