# Melt Pool Geometry History
# time(s)  length(m)  depth(m)  width(m)  volume(m3)  Tpeak(K)  laser_on
 2.10000E-05   0.00000E+00   0.00000E+00   0.00000E+00   7.56719E-14      293.00  1
 4.10000E-05   3.85586E-05   1.02002E-04   3.69611E-05   2.31675E-13     1844.43  1
 6.10000E-05   6.69896E-05   1.09270E-04   5.92623E-05   3.47100E-13     2732.61  1
 8.10000E-05   8.94442E-05   1.11679E-04   6.80865E-05   4.66101E-13     3199.88  1
 1.01000E-04   1.09574E-04   1.12874E-04   7.65409E-05   5.93889E-13     3406.11  1
 1.21000E-04   1.25936E-04   1.13319E-04   7.94244E-05   5.91723E-13     3556.76  0
 1.41000E-04   1.27424E-04   1.12724E-04   8.01539E-05   5.73290E-13     3004.56  0
 1.61000E-04   1.28093E-04   1.09209E-04   8.04244E-05   5.53044E-13     2694.21  0
