# Thermal History - 10 Monitoring Points
# Columns: time(s)  T1..T10 (K)
# Point coordinates (nearest cell centres):
#  P 1:  x= 9.950E-04m  y= 4.950E-04m  z= 6.925E-04m   => i= 101  j=  51  k=  50
#  P 2:  x= 1.995E-03m  y= 4.950E-04m  z= 6.925E-04m   => i= 201  j=  51  k=  50
#  P 3:  x= 2.995E-03m  y= 4.950E-04m  z= 6.925E-04m   => i= 301  j=  51  k=  50
#  P 4:  x= 1.995E-03m  y= 4.950E-04m  z= 6.575E-04m   => i= 201  j=  51  k=  43
#  P 5:  x= 1.995E-03m  y= 4.950E-04m  z= 5.975E-04m   => i= 201  j=  51  k=  31
#  P 6:  x= 1.995E-03m  y= 5.950E-04m  z= 6.925E-04m   => i= 201  j=  61  k=  50
#  P 7:  x= 1.995E-03m  y= 6.450E-04m  z= 6.925E-04m   => i= 201  j=  66  k=  50
#  P 8:  x= 1.995E-03m  y= 7.950E-04m  z= 6.925E-04m   => i= 201  j=  81  k=  50
#  P 9:  x= 1.995E-03m  y= 1.495E-03m  z= 6.925E-04m   => i= 201  j= 151  k=  50
#  P10:  x= 1.995E-03m  y= 4.950E-04m  z= 1.747E-04m   => i= 201  j=  51  k=   4
#  time(s)    T 1(K)       T 2(K)       T 3(K)       T 4(K)       T 5(K)       T 6(K)       T 7(K)       T 8(K)       T 9(K)       T10(K)       
 1.02100E-03    1623.139     293.000     293.000     293.000     293.000     293.000     293.000     293.000     293.000     293.000
 1.04100E-03    1621.576     293.000     293.000     293.000     293.000     293.000     293.000     293.000     293.000     293.000
 1.06100E-03    1619.844     293.000     293.000     293.000     293.000     293.000     293.000     293.000     293.000     293.000
 1.08100E-03    1617.796     293.000     293.000     293.000     293.000     293.000     293.000     293.000     293.000     293.000
 1.10100E-03    1615.443     293.000     293.000     293.000     293.000     293.000     293.000     293.000     293.000     293.000
 1.12100E-03    1612.819     293.000     293.000     293.003     293.002     293.000     293.000     293.000     293.000     293.000
 1.14100E-03    1609.870     293.005     293.000     293.172     293.125     293.000     293.000     293.000     293.000     293.000
 1.16100E-03    1606.560     294.663     293.000     300.059     298.066     293.000     293.000     293.000     293.000     293.000
 1.18100E-03    1602.948     465.558     293.000     478.851     428.751     293.002     293.002     293.002     293.002     293.002
 1.20100E-03    1599.079    1724.091     293.000    1510.366    1242.945     293.010     293.007     293.007     293.007     293.009
 1.22100E-03    1594.619    2693.738     293.000    2432.518    1918.783     293.031     293.019     293.019     293.019     293.020
 1.24100E-03    1589.711    2658.191     293.000    2431.407    1815.704     293.059     293.025     293.025     293.025     293.025
 1.26100E-03    1584.561    2503.051     293.000    2245.835    1657.454     293.102     293.025     293.025     293.025     293.024
